var,c_2022_30_ols,p_2022_30_ols,c_2022_30_fwd,p_2022_30_fwd,c_2022_30,p_2022_30
한식음식점,-0.487,+,-0.569,+,-0.664,+
제과점,-0.402,+,-0.404,+,-0.373,+
지가,-0.254,+,-0.288,+,-0.303,+
치킨전문점,-0.245,+,-0.252,+,-0.2,+
커피-음료,-0.108, ,-0.099, ,,
쇼핑업체수,-0.106, ,-0.089, ,,
대학교,-0.079, ,-0.079,+,-0.082,+
대형마트,0.087,+,0.084,+,,
호프-간이주점,0.101, ,0.102, ,0.129,+
사업체수,0.305,+,0.256,+,0.274,+
네일숍,0.377,+,0.316,+,0.319,+
편의점,0.385,+,0.325,+,0.275,+
일식음식점,0.61,+,0.741,+,0.664,+
미용실,-0.074, ,,,,
애완동물,-0.06, ,,,,
분식전문점,-0.043, ,,,,
양식음식점,0.084, ,,,,
중식음식점,-0.013, ,,,,
패스트푸드점,0.051, ,,,,
슈퍼마켓,-0.037, ,,,,
종사자수,-0.07, ,,,,
지가변동률,0.024, ,,,,
기타대학,-0.042, ,,,,
