var,c_2023_30_ols,p_2023_30_ols,c_2023_30_fwd,p_2023_30_fwd,c_2023_30,p_2023_30
한식음식점,-0.594,+,-0.644,+,-0.665,+
미용실,-0.258, ,-0.34,+,-0.409,+
제과점,-0.365,+,-0.334,+,-0.298,+
쇼핑업체수,-0.163,+,-0.171,+,-0.135,+
치킨전문점,-0.205, ,-0.127, ,,
종사자수,-0.092, ,-0.085, ,,
대학교,-0.078, ,-0.082,+,-0.088,+
대형마트,0.083, ,0.08, ,,
호프-간이주점,0.119, ,0.128,+,0.129,+
양식음식점,0.171,+,0.156,+,0.166,+
지가변동률,0.24,+,0.253,+,0.263,+
사업체수,0.354,+,0.359,+,0.309,+
네일숍,0.414,+,0.43,+,0.443,+
편의점,0.504,+,0.47,+,0.4,+
일식음식점,0.457,+,0.498,+,0.456,+
애완동물,-0.064, ,,,,
분식전문점,-0.007, ,,,,
중식음식점,-0.01, ,,,,
커피-음료,-0.056, ,,,,
패스트푸드점,0.107, ,,,,
슈퍼마켓,-0.022, ,,,,
지가,-0.002, ,,,,
기타대학,-0.048, ,,,,
