var2,var,c_2022_all,p_2022_all,c_2022_20,p_2022_20,c_2022_30,p_2022_30,c_2023_all,p_2023_all,c_2023_20,p_2023_20,c_2023_30,p_2023_30,c_2024_all,p_2024_all,c_2024_20,p_2024_20,c_2024_30,p_2024_30
Intercept,상수,0.0, ,0.0, ,-0.0, ,0.0, ,0.0, ,0.0, ,0.0, ,0.0, ,-0.0, 
var6,양식음식점,0.306,+,0.146,+,,,0.252,+,,,0.156,+,0.227,+,0.163,+,0.143,+
var18,사업체수,0.443,+,0.167,+,0.256,+,0.517,+,0.151,+,0.359,+,0.539,+,0.309,+,0.32,+
var22,대학교,0.165,+,0.436,+,-0.079,+,0.165,+,0.433,+,-0.082,+,0.164,+,0.441,+,-0.063, 
var4,분식전문점,0.213,+,,,,,0.192,+,,,,,0.308,+,,,-0.035, 
var12,제과점,-0.271,+,,,-0.404,+,-0.32,+,,,-0.334,+,-0.203,+,-0.157, ,-0.31,+
var3,애완동물,-0.523,+,-0.444,+,,,-0.664,+,-0.636,+,,,-0.584,+,-0.594,+,,
var2,미용실,0.354,+,0.362,+,,,0.486,+,0.566,+,-0.34,+,0.211, ,0.054, ,,
var16,편의점,0.305,+,,,0.325,+,0.43,+,0.311,+,0.47,+,0.397,+,0.349,+,0.278,+
var19,종사자수,-0.189, ,,,,,-0.259,+,,,-0.085, ,-0.307,+,-0.253,+,,
var11,패스트푸드점,-0.119, ,,,,,,,,,,,-0.182,+,,,,
