var2,var,c_al,p_al,c_20,p_20,c_30,p_30,c_67,p_67
Intercept,상수,0.0, ,-0.0, ,0.0, ,0.0, 
var2,사업체수,0.233,+,0.062, ,0.26,+,-0.203,+
var5,안심귀갓길,0.26,+,0.181,+,0.089,+,-0.164,+
var17,쇼핑,0.117,+,,,,,,
var18,대형마트,-0.14,+,-0.092,+,,,0.095,+
var7,반려동물업,-0.865,+,-0.815,+,,,0.562,+
var14,일반음식점,0.392,+,,,0.413,+,-0.331,+
var10,세탁업,0.086, ,,,0.539,+,-0.311, 
var3,지가상승률,-0.095,+,-0.071, ,0.098,+,,
var13,이용업,0.163, ,,,-0.397,+,,
var16,편의점,0.246, ,0.391,+,,,-0.229, 
var6,대학교,,,0.132,+,-0.059, ,,
var11,약국,,,0.375,+,,,,
var15,카페,,,0.16, ,-0.189, ,,
var1,금융기관,,,-0.088, ,0.104,+,-0.059, 
var4,노인복지시설,,,-0.141, ,-0.347,+,0.307,+
