,전체 1인가구,20대 1인 가구,30대 1인 가구,60/70대 1인 가구
금융기관,18.0,8.4,39.6,9.0
사업체수,6433.5,1762.5,6784.4,1098.7
지가상승률,4.2417,3.9818000000000007,5.329899999999999,4.1160000000000005
노인복지시설,9.5,4.9,5.0,15.6
안심귀갓길,2.3,0.7,0.3,0.0
대학교,0.7,0.7,0.2,0.3
반려동물업,35.5,19.9,59.7,43.8
미용업,263.6,183.3,368.0,270.2
병원,2.7,1.8,5.7,3.0
세탁업,34.1,19.3,40.2,31.2
약국,45.7,28.6,59.8,41.4
영화상영관,7.2,5.1,17.2,5.2
이용업,18.0,11.6,16.5,21.8
일반음식점,1486.4,778.3,1793.4,727.4
카페,196.3,105.9,223.6,99.8
편의점,74.4,37.2,85.5,39.6
쇼핑,7.5,4.2,7.3,5.1
대형마트,0.2,0.2,0.4,0.6
