var2,var,c_al,p_al,c_20,p_20,c_30,p_30,c_60,p_60,c_70,p_70,c_67,p_67
const,상수,0.0, ,0.0, ,-0.0, ,-0.0, ,0.0, ,0.0, 
var2,사업체수,0.221,+,,,0.255,+,-0.173,+,-0.153,+,-0.159,+
var3,지가 변동률,-0.097,+,,,0.099,+,,,,,,
var5,안심귀갓길,0.262,+,0.182,+,0.092,+,-0.158,+,-0.144,+,-0.163,+
var7,반려동물업,-0.855,+,-0.868,+,,,,,0.593,+,0.53,+
var13,이용업,0.178,+,,,-0.342,+,0.468,+,,,,
var14,일반음식점,0.382,+,,,0.23,+,-0.411,+,-0.351,+,-0.363,+
var16,편의점,0.316,+,0.322,+,,,,,-0.487,+,-0.462,+
var17,쇼핑,0.12,+,,,,,,,,,,
var18,대형마트,-0.141,+,-0.091,+,,,,,0.095,+,0.085,+
var6,대학교,,,0.142,+,,,-0.096,+,,,,
var11,약국,,,0.312,+,,,,,,,,
var15,카페,,,0.251,+,,,,,,,,
var1,금융기관,,,,,0.099,+,,,,,,
var4,노인복지시설,,,,,-0.331,+,0.266,+,0.212,+,0.285,+
var10,세탁업,,,,,0.498,+,-0.424,+,,,,
var9,병원,,,,,,,0.159,+,,,,
