var2,var,coef_solo_all,pvalue_solo_all,coef_solo_20,pvalue_solo_20,coef_solo_30,pvalue_solo_30,coef_solo_60,pvalue_solo_60,coef_solo_70,pvalue_solo_70,coef_solo_67,pvalue_solo_67
Intercept,상수,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0
var2,사업체합계,0.502,0.0,0.22,0.0,0.538,0.0,0.392,0.0,0.222,0.0,0.291,0.0
var13,세탁업,0.209,0.183,,,0.387,0.006,0.234,0.05,0.052,0.768,,
var6,안심귀갓길 개수,0.243,0.0,0.279,0.0,0.228,0.0,,,,,,
var18,제과점영업,-0.206,0.04,-0.174,0.091,-0.217,0.017,,,,,,
var1,금융기관_근접3,-0.146,0.001,-0.132,0.007,-0.074,0.083,,,-0.162,0.006,-0.123,0.03
var9,동물병원,-0.217,0.006,,,,,-0.223,0.009,,,,
var11,미용업,0.672,0.0,0.334,0.044,0.652,0.0,0.297,0.086,,,0.246,0.159
var7,대학교 개수_근접9,0.102,0.01,0.112,0.01,0.073,0.045,,,0.103,0.028,,
var10,동물약국,-0.394,0.004,-0.556,0.0,-0.264,0.02,,,0.379,0.007,,
var21,편의점,0.609,0.0,0.615,0.0,0.654,0.0,,,-0.298,0.121,,
var20,카페,-0.511,0.0,,,-0.626,0.0,-0.553,0.0,-0.34,0.007,-0.506,0.0
var5,노인복지시설 개수,-0.179,0.023,,,-0.273,0.0,0.05,0.556,0.357,0.0,0.213,0.015
var14,약국,0.259,0.041,0.373,0.006,,,,,,,,
var16,이용업,-0.165,0.089,-0.216,0.02,-0.423,0.0,0.346,0.001,,,0.229,0.026
var3,지가 변동률,-0.071,0.099,,,,,-0.161,0.006,-0.161,0.008,-0.098,0.037
var8,동물미용업,,,-0.299,0.001,,,,,-0.154,0.106,-0.239,0.015
var4,지가 누계,,,-0.091,0.037,,,0.108,0.048,0.082,0.159,,
var23,대형마트_근접3,,,-0.063,0.142,,,,,0.088,0.052,0.066,0.13
var12,병원,,,,,-0.099,0.092,0.154,0.022,0.148,0.04,0.203,0.004
var17,일반음식점,,,,,0.245,0.061,,,,,,
var15,영화상영관,,,,,0.065,0.135,,,,,,
var19,휴게음식점,,,,,,,-0.212,0.008,,,,
var22,쇼핑_근접9,,,,,,,-0.122,0.007,-0.094,0.077,-0.124,0.014
