var,coef_solo_all,pvalue_solo_all,coef_solo_20,pvalue_solo_20,coef_solo_30,pvalue_solo_30,coef_solo_60,pvalue_solo_60,coef_solo_70,pvalue_solo_70,coef_solo_67,pvalue_solo_67
const,-0.0,1.0,0.0,1.0,0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,1.0
금융기관_근접3,-0.12,0.027,-0.147,0.014,-0.05,0.31,-0.066,0.27,-0.128,0.042,-0.106,0.084
사업체합계,0.486,0.0,0.208,0.001,0.539,0.0,0.38,0.0,0.273,0.0,0.336,0.0
지가 변동률,-0.098,0.076,-0.008,0.892,-0.089,0.08,-0.156,0.011,-0.129,0.044,-0.148,0.018
지가 누계,0.038,0.458,-0.083,0.143,0.071,0.135,0.116,0.042,0.062,0.306,0.09,0.127
노인복지시설 개수,-0.157,0.069,-0.129,0.171,-0.315,0.0,0.069,0.467,0.302,0.003,0.21,0.031
안심귀갓길 개수,0.246,0.0,0.284,0.0,0.228,0.0,0.031,0.466,-0.009,0.836,0.009,0.842
대학교 개수_근접9,0.099,0.018,0.134,0.004,0.066,0.084,-0.013,0.776,0.109,0.024,0.059,0.213
동물미용업,-0.053,0.646,-0.229,0.069,0.147,0.16,-0.107,0.398,-0.201,0.131,-0.168,0.197
동물병원,-0.157,0.113,-0.094,0.389,-0.12,0.186,-0.174,0.112,-0.019,0.868,-0.091,0.418
동물약국,-0.362,0.015,-0.535,0.001,-0.345,0.011,0.074,0.652,0.274,0.113,0.196,0.246
미용업,0.619,0.001,0.516,0.014,0.601,0.001,0.346,0.1,0.221,0.319,0.289,0.181
병원,-0.043,0.522,-0.082,0.268,-0.113,0.066,0.173,0.02,0.145,0.063,0.165,0.031
세탁업,0.223,0.181,-0.108,0.555,0.428,0.005,0.229,0.214,0.03,0.878,0.122,0.517
약국,0.267,0.05,0.4,0.007,0.174,0.16,0.021,0.89,0.036,0.82,0.031,0.842
영화상영관,0.046,0.346,0.029,0.597,0.053,0.24,0.018,0.744,0.012,0.83,0.015,0.783
이용업,-0.197,0.066,-0.204,0.081,-0.425,0.0,0.326,0.006,0.165,0.182,0.247,0.041
일반음식점,0.106,0.501,0.024,0.889,0.239,0.096,-0.043,0.805,-0.253,0.165,-0.169,0.341
제과점영업,-0.239,0.038,-0.211,0.094,-0.212,0.044,-0.116,0.359,0.081,0.543,-0.005,0.968
휴게음식점,-0.016,0.867,0.106,0.316,-0.033,0.71,-0.154,0.147,-0.067,0.552,-0.11,0.314
카페,-0.54,0.0,-0.274,0.095,-0.577,0.0,-0.481,0.004,-0.325,0.06,-0.413,0.015
편의점,0.59,0.001,0.825,0.0,0.571,0.001,-0.072,0.716,-0.268,0.196,-0.191,0.344
쇼핑_근접9,-0.051,0.279,-0.002,0.977,-0.033,0.447,-0.1,0.056,-0.093,0.089,-0.101,0.06
대형마트_근접3,-0.016,0.695,-0.059,0.177,-0.024,0.511,0.046,0.297,0.081,0.081,0.069,0.128
